,0
255,44215.600000000006
256,44361.700000000004
257,44317.80000000001
258,44280.60000000001
259,44312.700000000004
260,44360.8
261,44400.4
262,44383.99999999999
263,44374.0
264,44248.1
265,44334.2
266,44269.799999999996
267,44509.9
268,44116.9
269,44385.2
270,44417.100000000006
271,44421.0
272,44411.3
273,44560.00000000001
274,44295.20000000001
275,44563.00000000001
276,44265.20000000001
277,44429.30000000001
278,44297.600000000006
279,44401.60000000001
280,44335.000000000015
281,44165.40000000001
282,44530.000000000015
283,44267.500000000015
284,44424.000000000015
285,44186.80000000001
286,44487.000000000015
287,44134.30000000002
288,44326.60000000001
289,44364.20000000002
290,44278.900000000016
291,44457.70000000002
292,44385.80000000002
293,44312.70000000001
294,44250.70000000001
295,44403.30000000002
296,44268.20000000001
297,44480.00000000001
298,44123.70000000001
299,44409.000000000015
300,44294.90000000001
301,44285.60000000001
302,44263.8
303,44336.8
304,44394.3
305,44406.5
306,44322.7
307,44536.00000000001
308,44219.80000000001
309,44431.200000000004
310,44396.90000000001
311,44400.00000000001
312,44279.50000000001
313,44308.80000000001
314,44377.50000000001
315,44292.80000000001
316,44289.100000000006
317,44291.60000000001
318,44314.900000000016
319,44386.80000000002
320,44276.30000000002
321,44531.500000000015
322,44483.70000000001
323,44442.90000000002
324,44307.000000000015
325,44449.000000000015
326,44131.000000000015
327,44348.000000000015
328,44401.3
329,44234.3
330,44347.3
331,44310.8
332,44347.7
333,44262.700000000004
334,44441.8
335,44353.700000000004
336,44451.00000000001
337,44416.50000000001
338,44275.00000000001
339,44615.0
340,44595.9
341,44675.80000000001
342,44415.50000000001
343,44517.00000000001
344,44252.50000000001
345,44317.30000000001
346,44321.600000000006
347,44341.20000000001
348,44365.000000000015
349,44163.000000000015
350,44464.000000000015
351,44402.70000000001
352,44366.70000000001
353,44373.00000000001
354,44315.700000000004
355,44363.100000000006
356,44419.4
357,44099.50000000001
358,44306.50000000001
359,44256.8
360,44309.40000000001
361,44309.50000000001
362,44460.40000000001
363,44329.50000000001
364,44587.200000000004
365,44479.200000000004
366,44319.4
367,44213.3
368,44330.0
369,44224.2
370,44456.600000000006
371,44220.7
372,44445.09999999999
373,44360.99999999999
374,44196.69999999999
375,44396.899999999994
376,44221.299999999996
377,44397.9
378,44355.2
379,44422.69999999999
380,44329.39999999999
381,44559.39999999999
382,44416.999999999985
383,44567.999999999985
384,44200.69999999998
385,44295.79999999999
386,44320.89999999999
387,44309.399999999994
388,44416.29999999998
389,44193.89999999998
390,44366.899999999994
391,44372.799999999996
392,44430.19999999999
393,44252.1
394,44351.299999999996
395,44497.49999999999
396,44094.99999999999
397,44345.499999999985
398,44407.69999999999
399,44276.89999999999
400,44360.299999999996
401,44293.69999999999
402,44333.299999999996
403,44495.59999999999
404,44224.59999999999
405,44222.29999999999
406,44308.999999999985
407,44200.49999999998
408,44381.999999999985
409,44269.499999999985
410,44227.699999999975
411,44434.99999999998
412,44253.69999999998
413,44405.69999999998
414,44286.39999999998
415,44313.79999999999
416,44400.29999999999
417,44215.99999999999
418,44412.999999999985
419,44172.099999999984
420,44377.99999999998
421,44243.39999999999
422,44355.99999999998
423,44303.59999999998
424,44511.99999999998
425,44662.89999999998
426,44539.89999999998
427,44488.59999999998
428,44201.19999999998
429,44453.99999999998
430,44205.99999999998
431,44305.39999999998
432,44310.49999999997
433,44322.799999999974
434,44225.89999999998
435,44261.199999999975
436,44327.79999999998
437,44264.39999999997
438,44284.299999999974
439,44355.59999999998
440,44292.09999999998
441,44406.09999999996
442,44413.49999999997
443,44355.69999999997
444,44550.99999999997
445,44436.49999999997
446,44413.79999999997
447,44348.799999999974
448,44331.89999999997
449,44273.399999999965
450,44453.799999999974
451,44282.39999999997
452,44461.39999999998
453,44333.699999999975
454,44252.799999999974
455,44389.49999999998
456,44252.49999999998
457,44260.49999999998
458,44410.59999999998
459,44279.299999999974
460,44397.89999999998
461,44211.599999999984
462,44478.999999999985
463,44165.29999999998
464,44396.99999999998
465,44374.299999999974
466,44479.29999999998
467,44389.699999999975
468,44354.29999999997
469,44400.49999999997
470,44244.799999999974
471,44306.799999999974
472,44253.699999999975
473,44396.09999999997
474,44259.99999999997
475,44302.09999999997
476,44487.19999999996
477,44292.59999999997
478,44425.999999999956
479,44314.999999999956
480,44454.999999999956
481,44273.29999999996
482,44481.799999999974
483,44364.799999999974
484,44247.49999999997
485,44445.19999999996
486,44152.29999999997
487,44345.399999999965
488,44471.29999999997
489,44248.69999999997
490,44493.99999999997
491,44304.69999999997
492,44527.39999999997
493,44427.99999999997
494,44369.39999999997
495,44405.39999999997
496,44541.99999999997
497,44161.39999999997
498,44284.299999999974
499,44517.39999999997
500,44146.59999999997
501,44442.99999999998
502,44289.89999999997
503,44595.59999999998
504,44537.799999999974
505,44511.799999999974
506,44210.99999999998
507,44313.299999999974
508,44403.49999999998
509,44199.599999999984
510,44338.89999999999
511,44480.39999999998
512,44197.39999999998
513,44447.299999999996
514,44443.299999999996
515,44306.29999999999
516,44307.99999999999
517,44518.09999999999
518,44261.99999999999
519,44554.99999999999
520,44420.1
521,44535.99999999999
522,44397.6
523,44634.69999999999
524,44543.999999999985
525,44492.69999999998
526,44503.99999999999
527,44249.79999999998
528,44515.99999999999
529,44191.499999999985
530,44448.99999999999
531,44362.499999999985
532,44420.89999999999
533,44319.799999999996
534,44175.69999999998
535,44249.19999999998
536,44381.499999999985
537,44370.29999999999
538,44381.599999999984
539,44350.29999999998
540,44264.999999999985
541,44327.799999999974
542,44304.499999999985
543,44383.09999999998
544,44364.89999999998
545,44318.89999999999
546,44438.999999999985
547,44234.79999999998
548,44316.599999999984
549,44508.29999999998
550,44117.39999999998
551,44306.09999999998
552,44228.89999999999
553,44329.09999999999
554,44271.59999999999
555,44340.89999999999
556,44302.89999999999
557,44350.19999999999
558,44311.99999999999
559,44410.79999999999
560,44241.59999999999
561,44521.8
562,44249.7
563,44676.80000000001
564,44480.30000000001
565,44432.00000000001
566,44345.40000000001
567,44366.200000000004
568,44381.30000000001
569,44304.400000000016
570,44294.60000000001
571,44345.000000000015
572,44287.20000000001
573,44284.900000000016
574,44312.10000000001
575,44387.10000000001
576,44244.000000000015
577,44469.2
578,44436.4
579,44358.8
580,44324.2
581,44368.90000000001
582,44317.70000000001
583,44330.700000000004
584,44210.700000000004
585,44220.90000000001
586,44503.1
587,44207.9
588,44210.600000000006
589,44242.50000000001
590,44312.40000000001
591,44233.20000000001
592,44423.30000000001
593,44134.200000000004
594,44489.00000000001
595,44222.600000000006
596,44421.00000000001
597,44460.00000000001
598,44369.00000000001
599,44464.00000000001
600,44093.20000000001
601,44383.00000000001
602,44173.30000000001
603,44516.00000000001
604,44215.600000000006
605,44361.700000000004
606,44317.80000000001
607,44280.60000000001
608,44312.700000000004
609,44360.8
610,44400.4
611,44383.99999999999
612,44374.0
613,44248.1
614,44334.2
615,44269.799999999996
616,44509.9
617,44116.9
618,44385.2
619,44417.100000000006
620,44421.0
621,44411.3
622,44560.00000000001
623,44295.20000000001
624,44563.00000000001
625,44265.20000000001
626,44429.30000000001
627,44297.600000000006
628,44401.60000000001
629,44335.000000000015
630,44165.40000000001
631,44530.000000000015
632,44267.500000000015
633,44424.000000000015
634,44186.80000000001
635,44487.000000000015
636,44134.30000000002
637,44326.60000000001
638,44364.20000000002
639,44278.900000000016
640,44457.70000000002
641,44385.80000000002
642,44312.70000000001
643,44250.70000000001
644,44403.30000000002
645,44268.20000000001
